Municipio;Orgao;Item de Despesa;Valor Investido
IBITIURA DE MINAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;70.325,01
IBITIURA DE MINAS;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;18.260,79
IBITURUNA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;103.280,26
IBITURUNA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ICARAI DE MINAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;193.645,24
ICARAI DE MINAS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
ICARAI DE MINAS;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;97.986,66
ICARAI DE MINAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;4.855,80
IGARAPE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;3.420,00
IGARAPE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
IGARAPE;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;13.152,72
IGARAPE;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;104.590,66
IGARAPE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;5.826,96
IGARATINGA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;40.233,35
IGARATINGA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;26.446,82
IGARATINGA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;108.000,00
IGARATINGA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;90.109,75
IGARATINGA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
IGARATINGA;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;76.306,00
IGUATAMA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;9.033,60
IGUATAMA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
IGUATAMA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
IJACI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;48.376,12
IJACI;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;26.446,82
IJACI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ILICINEA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;77.087,52
ILICINEA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;367.668,40
IMBE DE MINAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;89.436,87
IMBE DE MINAS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
IMBE DE MINAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
INCONFIDENTES;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;217.642,24
INCONFIDENTES;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;126.814,31
INCONFIDENTES;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
INDAIABIRA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;298.547,98
INDAIABIRA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
INDAIABIRA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;65.244,18
INDAIABIRA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
INDIANOPOLIS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;50.752,68
INDIANOPOLIS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
INDIANOPOLIS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
INGAI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;108.341,74
INGAI;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
INGAI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
INHAPIM;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;53.413,65
INHAPIM;FUNDO ESTADUAL DE SAUDE;AUXILIOS;119.214,00
INHAPIM;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
INHAPIM;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;5.400,00
INHAPIM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;182.985,00
INHAPIM;SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL;AUXILIOS;45.000,00
INHAPIM;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;200.000,00
INHAPIM;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;9.711,60
INHAUMA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;137.734,44
INIMUTABA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;142.274,84
INIMUTABA;SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL;AUXILIOS;35.000,00
INIMUTABA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
IPABA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;31.054,41
IPABA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
IPABA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
IPABA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;3.884,64
IPABA;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;100.000,00
IPANEMA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;100.162,94
IPANEMA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;21.067,39
IPANEMA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
IPANEMA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;5.256,00
IPANEMA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.995,00
IPANEMA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;450.000,00
IPANEMA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
IPATINGA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;ARMAMENTO E EQUIPAMENTO DE USO POLICIAL;50.400,00
IPATINGA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;499,38
IPATINGA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
IPATINGA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;567.000,00
IPATINGA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;37.265,31
IPATINGA;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS DE INFORMATICA;11.880,00
IPATINGA;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;12.072,00
IPATINGA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;14.302,00
IPATINGA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;245.232,00
IPATINGA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;26.440,00
IPATINGA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;213.127,00
IPATINGA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;165.404,29
IPATINGA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;20.394,36
IPIACU;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;67.871,68
IPIACU;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;14.273,75
IPIACU;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
IPUIUNA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;5.400,00
IPUIUNA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;20.000,00
IPUIUNA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
IRAI DE MINAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;93.229,36
IRAI DE MINAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ITABIRA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
ITABIRA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1.461.213,96
ITABIRA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;175.852,34
ITABIRA;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS DE SEGURANCA ELETRONICA;1.070,00
ITABIRA;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;22.900,00
ITABIRA;FUNDO ESTADUAL DE SAUDE;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;6.416,00
ITABIRA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;123.000,00
ITABIRA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;8.980,00
ITABIRA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;335.122,00
ITABIRA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;960.864,12
ITABIRA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;12.625,08
ITABIRINHA DE MANTENA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;201.865,24
ITABIRINHA DE MANTENA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
ITABIRITO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;87.822,77
ITABIRITO;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;2.380,00
ITABIRITO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ITABIRITO;SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL;AUXILIOS;97.336,13
ITABIRITO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;3.884,64
ITACAMBIRA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;124.830,54
ITACAMBIRA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;247.688,77
ITACAMBIRA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
ITACARAMBI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;136.514,89
ITACARAMBI;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;3.049,47
ITACARAMBI;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;182.985,00
ITACARAMBI;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;22.998,30
ITACARAMBI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ITAGUARA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;109.586,59
ITAGUARA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;182.985,00
ITAGUARA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
ITAIPE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;97.951,58
ITAIPE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
ITAJUBA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;52.246,33
ITAJUBA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
ITAJUBA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;266.005,55
ITAJUBA;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;AUXILIOS;824.750,96
ITAJUBA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;3.570,00
ITAJUBA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;123.000,00
ITAJUBA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;615.749,42
ITAJUBA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;MOBILIARIO;2.325,00
ITAJUBA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ITAJUBA;SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL;AUXILIOS;75.000,00
ITAJUBA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;30.000,00
ITAJUBA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS DE INFORMATICA;700.467,20
ITAJUBA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;11.653,92
ITAMARANDIBA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;398.797,95
ITAMARANDIBA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;3.049,47
ITAMARANDIBA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
ITAMARANDIBA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;639.082,70
ITAMARANDIBA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;9.711,60
ITAMARANDIBA;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;90.000,00
ITAMARATI DE MINAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;7.377,92
ITAMARATI DE MINAS;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;26.914,00
ITAMBACURI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;15.730,98
ITAMBE DO MATO DENTRO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;62.119,03
ITAMBE DO MATO DENTRO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;4.490,00
ITAMBE DO MATO DENTRO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ITAMBE DO MATO DENTRO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;20.000,00
ITAMBE DO MATO DENTRO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ITAMBE DO MATO DENTRO;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;84.392,00
ITAMOGI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;155.781,83
ITAMOGI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
ITAMONTE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;114.448,58
ITAMONTE;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
ITAMONTE;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;35.000,00
ITAMONTE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ITANHANDU;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;24.706,71
ITANHANDU;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;63.263,87
ITANHANDU;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ITANHANDU;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;40.000,00
ITANHANDU;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
ITANHOMI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;182.736,72
ITANHOMI;FUNDO ESTADUAL DE SAUDE;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;1.877,00
ITANHOMI;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ITANHOMI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;3.884,64
ITAOBIM;FUNDO ESTADUAL DE SAUDE;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;1.877,00
ITAOBIM;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;3.049,47
ITAOBIM;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
ITAOBIM;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;213.127,00
ITAOBIM;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;25.000,00
ITAOBIM;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;3.884,64
ITAOBIM;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;100.000,00
ITAPAGIPE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;302.012,38
ITAPAGIPE;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
ITAPAGIPE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
ITAPAGIPE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ITAPAGIPE;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;62.000,00
ITAPECERICA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;336.180,14
ITAPECERICA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;182.985,00
ITAPECERICA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;82.796,48
ITAPECERICA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;7.769,28
ITAPEVA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ITATIAIUCU;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;91.748,28
ITATIAIUCU;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;26.446,82
ITATIAIUCU;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
ITATIAIUCU;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;168.995,00
ITATIAIUCU;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ITAU DE MINAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;41.480,21
ITAU DE MINAS;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;11.532,00
